contour_chin.x,contour_chin.y,contour_left1.x,contour_left1.y,contour_left2.x,contour_left2.y,contour_left3.x,contour_left3.y,contour_left4.x,contour_left4.y,contour_left5.x,contour_left5.y,contour_left6.x,contour_left6.y,contour_left7.x,contour_left7.y,contour_left8.x,contour_left8.y,contour_left9.x,contour_left9.y,contour_right1.x,contour_right1.y,contour_right2.x,contour_right2.y,contour_right3.x,contour_right3.y,contour_right4.x,contour_right4.y,contour_right5.x,contour_right5.y,contour_right6.x,contour_right6.y,contour_right7.x,contour_right7.y,contour_right8.x,contour_right8.y,contour_right9.x,contour_right9.y,class
0.5,1,0,0,0,0.146341463,0,0.292682927,0.018181818,0.43902439,0.045454545,0.585365854,0.090909091,0.719512195,0.172727273,0.829268293,0.263636364,0.914634147,0.381818182,0.975609756,1,0,1.009090909,0.146341463,1,0.292682927,0.990909091,0.43902439,0.954545455,0.585365854,0.909090909,0.719512195,0.836363636,0.829268293,0.736363636,0.914634147,0.627272727,0.975609756,1
0.485436893,1,0,0,0,0.144578313,0.019417476,0.277108434,0.038834951,0.409638554,0.077669903,0.554216868,0.126213592,0.674698794,0.194174757,0.78313253,0.27184466,0.879518072,0.368932039,0.963855421,1,0.012048193,1,0.156626506,0.980582524,0.289156627,0.961165049,0.433734939,0.922330097,0.566265061,0.873786408,0.686746987,0.796116505,0.795180723,0.718446602,0.891566265,0.611650485,0.975903614,2
0.505263158,1,0,0,0,0.1375,0.010526316,0.275,0.021052632,0.4125,0.052631579,0.55,0.105263158,0.675000001,0.178947368,0.7875,0.263157895,0.8875,0.378947368,0.9625,1,0.0125,1,0.149999999,0.989473684,0.2875,0.968421053,0.425,0.936842105,0.55,0.884210526,0.675000001,0.821052632,0.7875,0.736842105,0.8875,0.631578947,0.9625,2
0.477707006,1,0,0,0,0.144000001,0.012738854,0.28,0.025477707,0.424,0.057324841,0.56,0.108280255,0.68,0.171974522,0.791999999,0.25477707,0.887999999,0.356687898,0.968,1,0.008,0.993630573,0.152,0.98089172,0.288,0.955414013,0.432,0.923566879,0.568,0.872611465,0.695999999,0.796178344,0.8,0.713375796,0.896,0.605095541,0.968,2
0.519607843,1,0,0,0,0.13253012,0.019607843,0.277108434,0.039215686,0.421686747,0.078431373,0.554216867,0.12745098,0.686746988,0.205882353,0.795180724,0.284313725,0.891566265,0.392156863,0.975903615,1,-0.012048193,1,0.13253012,0.980392157,0.265060242,0.960784314,0.409638554,0.931372549,0.542168675,0.882352941,0.662650602,0.81372549,0.78313253,0.735294118,0.891566265,0.647058824,0.963855421,2
0.494949495,1,0,0,-0.01010101,0.151898734,0,0.29113924,0.01010101,0.443037975,0.03030303,0.582278481,0.080808081,0.721518988,0.151515152,0.835443038,0.252525253,0.924050632,0.363636364,0.987341772,1,0.012658228,1,0.151898734,1,0.303797468,0.97979798,0.443037975,0.95959596,0.594936709,0.909090909,0.721518988,0.838383838,0.835443038,0.737373737,0.924050632,0.626262626,0.987341772,2
0.526315789,1,0,0,0.010526316,0.144736843,0.021052632,0.289473684,0.042105263,0.434210526,0.073684211,0.565789474,0.126315789,0.697368421,0.2,0.802631579,0.284210526,0.894736843,0.4,0.97368421,1,0,1,0.131578948,0.989473684,0.27631579,0.968421053,0.407894736,0.936842105,0.552631579,0.894736842,0.671052631,0.831578947,0.789473684,0.747368421,0.894736843,0.652631579,0.960526316,2
0.52,1,0,0,0.01,0.141025641,0.02,0.282051282,0.04,0.423076923,0.07,0.564102564,0.12,0.692307692,0.2,0.807692308,0.29,0.91025641,0.39,0.974358974,1,0,0.99,0.141025641,0.98,0.282051282,0.96,0.423076923,0.93,0.564102564,0.88,0.679487179,0.82,0.794871795,0.74,0.897435897,0.64,0.974358974,1
0.494949495,1,0,0,0,0.15,0.01010101,0.2875,0.03030303,0.425,0.060606061,0.562500001,0.111111111,0.687500001,0.181818182,0.8,0.262626263,0.9,0.363636364,0.975,1,0.0125,1,0.15,0.98989899,0.3,0.96969697,0.437500001,0.929292929,0.575,0.878787879,0.7,0.808080808,0.8,0.727272727,0.9,0.626262626,0.975,2
0.534883721,1,0,0,0,0.147058824,0.011627907,0.294117648,0.023255814,0.44117647,0.058139535,0.588235294,0.11627907,0.720588236,0.197674419,0.823529413,0.290697674,0.911764707,0.406976744,0.985294118,1,-0.014705882,1,0.132352942,0.988372093,0.264705883,0.976744186,0.411764706,0.953488372,0.55882353,0.906976744,0.676470589,0.837209302,0.794117648,0.755813953,0.897058825,0.651162791,0.970588235,2
