contour_chin.x,contour_chin.y,contour_left1.x,contour_left1.y,contour_left2.x,contour_left2.y,contour_left3.x,contour_left3.y,contour_left4.x,contour_left4.y,contour_left5.x,contour_left5.y,contour_left6.x,contour_left6.y,contour_left7.x,contour_left7.y,contour_left8.x,contour_left8.y,contour_left9.x,contour_left9.y,contour_right1.x,contour_right1.y,contour_right2.x,contour_right2.y,contour_right3.x,contour_right3.y,contour_right4.x,contour_right4.y,contour_right5.x,contour_right5.y,contour_right6.x,contour_right6.y,contour_right7.x,contour_right7.y,contour_right8.x,contour_right8.y,contour_right9.x,contour_right9.y,class
0.504504505,1,0,0,0,0.154761905,0.027027027,0.297619047,0.054054054,0.428571428,0.072072072,0.571428571,0.126126126,0.702380953,0.198198198,0.80952381,0.279279279,0.916666667,0.378378378,0.976190476,1,-0.023809524,1,0.130952381,0.981981982,0.273809523,0.963963964,0.416666666,0.936936937,0.559523809,0.891891892,0.690476191,0.81981982,0.80952381,0.738738739,0.904761905,0.63963964,0.976190476,b
0.504761905,1,0,0,0.00952381,0.146341463,0.028571429,0.292682927,0.057142857,0.426829268,0.085714286,0.56097561,0.142857143,0.682926829,0.20952381,0.792682927,0.285714286,0.890243902,0.380952381,0.975609756,1,-0.012195123,1,0.134146342,0.980952381,0.280487805,0.952380952,0.414634147,0.923809524,0.56097561,0.876190476,0.682926829,0.80952381,0.780487805,0.723809524,0.890243902,0.628571429,0.975609756,b
0.51,1,0,0,0,0.15,0.02,0.2875,0.05,0.425,0.08,0.5625,0.13,0.6875,0.2,0.7875,0.28,0.9,0.38,0.975,1,0.0125,0.99,0.15,0.97,0.2875,0.94,0.425,0.91,0.5625,0.86,0.6875,0.8,0.7875,0.72,0.9,0.64,0.975,b
0.5,1,0,0,0,0.148760331,0.018987342,0.289256198,0.037974684,0.429752066,0.069620253,0.570247934,0.120253165,0.694214876,0.196202532,0.801652893,0.278481013,0.892561984,0.379746835,0.966942148,1,0,0.993670886,0.148760331,0.981012658,0.289256198,0.955696203,0.429752066,0.930379747,0.570247934,0.873417722,0.694214876,0.810126582,0.801652893,0.721518987,0.892561984,0.626582278,0.966942148,b
0.51,1,0,0,0.01,0.144578313,0.03,0.289156627,0.05,0.421686747,0.07,0.554216867,0.12,0.686746988,0.19,0.795180723,0.27,0.903614458,0.38,0.975903614,1,0,1,0.144578313,0.98,0.289156627,0.96,0.421686747,0.94,0.554216867,0.89,0.686746988,0.83,0.795180723,0.74,0.891566265,0.64,0.975903614,b
0.519607843,1,0,0,0,0.160493827,0.019607843,0.296296297,0.039215686,0.444444444,0.058823529,0.592592592,0.107843137,0.716049383,0.176470588,0.827160494,0.274509804,0.925925926,0.382352941,0.975308642,1,-0.024691358,1,0.123456791,0.980392157,0.271604939,0.970588235,0.419753086,0.950980392,0.567901234,0.911764706,0.703703703,0.852941176,0.814814815,0.754901961,0.901234569,0.656862745,0.975308642,a
0.515463918,1,0,0,0,0.148148148,0.030927835,0.283950617,0.051546392,0.419753087,0.072164948,0.555555556,0.12371134,0.679012346,0.195876289,0.790123457,0.278350515,0.901234569,0.381443299,0.962962963,1,0,0.989690722,0.148148148,0.969072165,0.283950617,0.93814433,0.432098765,0.907216495,0.555555556,0.865979381,0.679012346,0.804123711,0.790123457,0.731958763,0.888888889,0.639175258,0.975308643,b
0.504854369,1,0,0,0,0.15,0.009708738,0.2875,0.029126214,0.425,0.058252427,0.575,0.116504854,0.7,0.184466019,0.8,0.27184466,0.9,0.378640777,0.962500001,1,0.0125,1,0.15,0.980582524,0.3,0.961165049,0.4375,0.932038835,0.575,0.873786408,0.7,0.805825243,0.8,0.72815534,0.9,0.631067961,0.975,b
0.490196078,1,0,0,0,0.15,0.019607843,0.2875,0.039215686,0.425,0.068627451,0.562500001,0.117647059,0.6875,0.18627451,0.8,0.264705882,0.900000001,0.362745098,0.975,1,0,0.990196078,0.15,0.980392157,0.2875,0.960784314,0.4375,0.931372549,0.575,0.882352941,0.700000001,0.81372549,0.812500001,0.725490196,0.900000001,0.62745098,0.975,b
0.494252874,1,0,0,0,0.157142858,0,0.3,0.022988506,0.442857143,0.045977011,0.585714286,0.091954023,0.714285715,0.16091954,0.828571429,0.252873563,0.914285715,0.367816092,0.985714286,1,0,1,0.157142858,0.988505747,0.3,0.965517241,0.442857143,0.942528736,0.585714286,0.885057471,0.714285715,0.827586207,0.814285715,0.735632184,0.914285715,0.632183908,0.985714286,b
