contour_chin.x,contour_chin.y,contour_left1.x,contour_left1.y,contour_left2.x,contour_left2.y,contour_left3.x,contour_left3.y,contour_left4.x,contour_left4.y,contour_left5.x,contour_left5.y,contour_left6.x,contour_left6.y,contour_left7.x,contour_left7.y,contour_left8.x,contour_left8.y,contour_left9.x,contour_left9.y,contour_right1.x,contour_right1.y,contour_right2.x,contour_right2.y,contour_right3.x,contour_right3.y,contour_right4.x,contour_right4.y,contour_right5.x,contour_right5.y,contour_right6.x,contour_right6.y,contour_right7.x,contour_right7.y,contour_right8.x,contour_right8.y,contour_right9.x,contour_right9.y,left_eye_bottom.x,left_eye_bottom.y,left_eye_center.x,left_eye_center.y,left_eye_left_corner.x,left_eye_left_corner.y,left_eye_lower_left_quarter.x,left_eye_lower_left_quarter.y,left_eye_lower_right_quarter.x,left_eye_lower_right_quarter.y,left_eye_pupil.x,left_eye_pupil.y,left_eye_right_corner.x,left_eye_right_corner.y,left_eye_top.x,left_eye_top.y,left_eye_upper_left_quarter.x,left_eye_upper_left_quarter.y,left_eye_upper_right_quarter.x,left_eye_upper_right_quarter.y,left_eyebrow_left_corner.x,left_eyebrow_left_corner.y,left_eyebrow_lower_left_quarter.x,left_eyebrow_lower_left_quarter.y,left_eyebrow_lower_middle.x,left_eyebrow_lower_middle.y,left_eyebrow_lower_right_quarter.x,left_eyebrow_lower_right_quarter.y,left_eyebrow_right_corner.x,left_eyebrow_right_corner.y,left_eyebrow_upper_left_quarter.x,left_eyebrow_upper_left_quarter.y,left_eyebrow_upper_middle.x,left_eyebrow_upper_middle.y,left_eyebrow_upper_right_quarter.x,left_eyebrow_upper_right_quarter.y,mouth_left_corner.x,mouth_left_corner.y,mouth_lower_lip_bottom.x,mouth_lower_lip_bottom.y,mouth_lower_lip_left_contour1.x,mouth_lower_lip_left_contour1.y,mouth_lower_lip_left_contour2.x,mouth_lower_lip_left_contour2.y,mouth_lower_lip_left_contour3.x,mouth_lower_lip_left_contour3.y,mouth_lower_lip_right_contour1.x,mouth_lower_lip_right_contour1.y,mouth_lower_lip_right_contour2.x,mouth_lower_lip_right_contour2.y,mouth_lower_lip_right_contour3.x,mouth_lower_lip_right_contour3.y,mouth_lower_lip_top.x,mouth_lower_lip_top.y,mouth_right_corner.x,mouth_right_corner.y,mouth_upper_lip_bottom.x,mouth_upper_lip_bottom.y,mouth_upper_lip_left_contour1.x,mouth_upper_lip_left_contour1.y,mouth_upper_lip_left_contour2.x,mouth_upper_lip_left_contour2.y,mouth_upper_lip_left_contour3.x,mouth_upper_lip_left_contour3.y,mouth_upper_lip_right_contour1.x,mouth_upper_lip_right_contour1.y,mouth_upper_lip_right_contour2.x,mouth_upper_lip_right_contour2.y,mouth_upper_lip_right_contour3.x,mouth_upper_lip_right_contour3.y,mouth_upper_lip_top.x,mouth_upper_lip_top.y,nose_contour_left1.x,nose_contour_left1.y,nose_contour_left2.x,nose_contour_left2.y,nose_contour_left3.x,nose_contour_left3.y,nose_contour_lower_middle.x,nose_contour_lower_middle.y,nose_contour_right1.x,nose_contour_right1.y,nose_contour_right2.x,nose_contour_right2.y,nose_contour_right3.x,nose_contour_right3.y,nose_left.x,nose_left.y,nose_right.x,nose_right.y,nose_tip.x,nose_tip.y,right_eye_bottom.x,right_eye_bottom.y,right_eye_center.x,right_eye_center.y,right_eye_left_corner.x,right_eye_left_corner.y,right_eye_lower_left_quarter.x,right_eye_lower_left_quarter.y,right_eye_lower_right_quarter.x,right_eye_lower_right_quarter.y,right_eye_pupil.x,right_eye_pupil.y,right_eye_right_corner.x,right_eye_right_corner.y,right_eye_top.x,right_eye_top.y,right_eye_upper_left_quarter.x,right_eye_upper_left_quarter.y,right_eye_upper_right_quarter.x,right_eye_upper_right_quarter.y,right_eyebrow_left_corner.x,right_eyebrow_left_corner.y,right_eyebrow_lower_left_quarter.x,right_eyebrow_lower_left_quarter.y,right_eyebrow_lower_middle.x,right_eyebrow_lower_middle.y,right_eyebrow_lower_right_quarter.x,right_eyebrow_lower_right_quarter.y,right_eyebrow_right_corner.x,right_eyebrow_right_corner.y,right_eyebrow_upper_left_quarter.x,right_eyebrow_upper_left_quarter.y,right_eyebrow_upper_middle.x,right_eyebrow_upper_middle.y,right_eyebrow_upper_right_quarter.x,right_eyebrow_upper_right_quarter.y
0.5,0.745454545,0,0,0,0.109090909,0,0.218181818,0.018181818,0.327272727,0.045454545,0.436363636,0.090909091,0.536363636,0.172727273,0.618181818,0.263636364,0.681818182,0.381818182,0.727272727,1,0,1.009090909,0.109090909,1,0.218181818,0.990909091,0.327272727,0.954545455,0.436363636,0.909090909,0.536363636,0.836363636,0.618181818,0.736363636,0.681818182,0.627272727,0.727272727,0.263636364,0.009090909,0.263636364,-0.018181818,0.181818182,-0.018181818,0.218181818,0,0.309090909,0.009090909,0.272727273,-0.018181818,0.354545455,0,0.272727273,-0.045454545,0.218181818,-0.045454545,0.318181818,-0.036363636,0.109090909,-0.127272727,0.163636364,-0.118181818,0.227272727,-0.118181818,0.3,-0.1,0.363636364,-0.1,0.163636364,-0.163636364,0.236363636,-0.163636364,0.309090909,-0.145454545,0.336363636,0.463636364,0.509090909,0.509090909,0.418181818,0.454545455,0.381818182,0.490909091,0.445454545,0.509090909,0.590909091,0.454545455,0.627272727,0.481818182,0.572727273,0.509090909,0.509090909,0.454545455,0.672727273,0.454545455,0.509090909,0.454545455,0.463636364,0.4,0.390909091,0.427272727,0.418181818,0.454545455,0.545454545,0.4,0.618181818,0.418181818,0.590909091,0.445454545,0.509090909,0.409090909,0.418181818,0,0.390909091,0.181818182,0.427272727,0.290909091,0.5,0.309090909,0.563636364,0,0.6,0.172727273,0.572727273,0.281818182,0.354545455,0.263636364,0.636363636,0.254545455,0.490909091,0.209090909,0.718181818,0.009090909,0.718181818,-0.018181818,0.636363636,0,0.672727273,0.009090909,0.763636364,0,0.709090909,-0.027272727,0.8,-0.018181818,0.718181818,-0.054545455,0.672727273,-0.036363636,0.763636364,-0.045454545,0.609090909,-0.109090909,0.681818182,-0.109090909,0.745454545,-0.118181818,0.8,-0.127272727,0.863636364,-0.127272727,0.672727273,-0.154545455,0.736363636,-0.172727273,0.809090909,-0.163636364
0.485436893,0.805825243,0,0,0,0.116504854,0.019417476,0.223300971,0.038834951,0.330097087,0.077669903,0.446601942,0.126213592,0.54368932,0.194174757,0.631067961,0.27184466,0.708737864,0.368932039,0.776699029,1,0.009708738,1,0.126213592,0.980582524,0.233009709,0.961165049,0.349514563,0.922330097,0.45631068,0.873786408,0.553398058,0.796116505,0.640776699,0.718446602,0.718446602,0.611650485,0.786407767,0.252427184,0.029126214,0.252427184,0,0.165048544,-0.009708738,0.203883495,0.009708738,0.300970874,0.019417476,0.262135922,-0.009708738,0.339805825,0.019417476,0.252427184,-0.029126214,0.203883495,-0.029126214,0.300970874,-0.019417476,0.087378641,-0.126213592,0.145631068,-0.126213592,0.213592233,-0.116504854,0.281553398,-0.106796117,0.359223301,-0.106796117,0.145631068,-0.165048544,0.223300971,-0.174757282,0.291262136,-0.155339806,0.330097087,0.514563107,0.485436893,0.611650485,0.40776699,0.533980583,0.368932039,0.563106796,0.417475728,0.601941748,0.563106796,0.533980583,0.601941748,0.553398058,0.553398058,0.59223301,0.485436893,0.54368932,0.640776699,0.504854369,0.485436893,0.524271845,0.446601942,0.475728155,0.388349515,0.495145631,0.40776699,0.514563107,0.524271845,0.475728155,0.582524272,0.485436893,0.563106796,0.514563107,0.485436893,0.485436893,0.40776699,0.019417476,0.368932039,0.242718447,0.40776699,0.359223301,0.466019417,0.378640777,0.533980583,0.019417476,0.563106796,0.242718447,0.533980583,0.359223301,0.349514563,0.32038835,0.59223301,0.32038835,0.466019417,0.300970874,0.699029126,0.038834951,0.689320388,0.009708738,0.59223301,0.029126214,0.640776699,0.038834951,0.747572816,0.029126214,0.67961165,0,0.786407767,0,0.689320388,-0.029126214,0.631067961,-0.009708738,0.737864078,-0.019417476,0.572815534,-0.087378641,0.650485437,-0.087378641,0.718446602,-0.106796117,0.786407767,-0.106796117,0.854368932,-0.106796117,0.631067961,-0.13592233,0.718446602,-0.155339806,0.796116505,-0.155339806
0.505263158,0.842105263,0,0,0,0.115789474,0.010526316,0.231578947,0.021052632,0.347368421,0.052631579,0.463157895,0.105263158,0.568421053,0.178947368,0.663157895,0.263157895,0.747368421,0.378947368,0.810526316,1,0.010526316,1,0.126315789,0.989473684,0.242105263,0.968421053,0.357894737,0.936842105,0.463157895,0.884210526,0.568421053,0.821052632,0.663157895,0.736842105,0.747368421,0.631578947,0.810526316,0.263157895,0.010526316,0.263157895,-0.021052632,0.168421053,-0.021052632,0.210526316,0,0.305263158,0.010526316,0.263157895,-0.021052632,0.357894737,0,0.263157895,-0.052631579,0.210526316,-0.042105263,0.315789474,-0.042105263,0.105263158,-0.147368421,0.168421053,-0.157894737,0.231578947,-0.157894737,0.305263158,-0.147368421,0.368421053,-0.157894737,0.157894737,-0.2,0.231578947,-0.210526316,0.305263158,-0.2,0.315789474,0.494736842,0.494736842,0.589473684,0.410526316,0.505263158,0.368421053,0.536842105,0.421052632,0.578947368,0.589473684,0.515789474,0.631578947,0.557894737,0.578947368,0.589473684,0.505263158,0.515789474,0.684210526,0.515789474,0.505263158,0.505263158,0.452631579,0.442105263,0.389473684,0.463157895,0.410526316,0.494736842,0.557894737,0.442105263,0.621052632,0.473684211,0.589473684,0.505263158,0.505263158,0.452631579,0.421052632,0.010526316,0.389473684,0.189473684,0.421052632,0.315789474,0.505263158,0.336842105,0.578947368,0.010526316,0.621052632,0.189473684,0.578947368,0.315789474,0.347368421,0.273684211,0.652631579,0.284210526,0.515789474,0.231578947,0.736842105,0.031578947,0.736842105,0.010526316,0.642105263,0.021052632,0.684210526,0.031578947,0.789473684,0.031578947,0.726315789,0,0.831578947,0.010526316,0.736842105,-0.031578947,0.684210526,-0.021052632,0.789473684,-0.021052632,0.621052632,-0.126315789,0.705263158,-0.126315789,0.778947368,-0.136842105,0.852631579,-0.126315789,0.915789474,-0.115789474,0.694736842,-0.178947368,0.778947368,-0.189473684,0.852631579,-0.178947368
0.477707006,0.796178344,0,0,0,0.114649682,0.012738854,0.222929936,0.025477707,0.337579618,0.057324841,0.445859873,0.108280255,0.541401274,0.171974522,0.630573248,0.25477707,0.707006369,0.356687898,0.770700637,1,0.006369427,0.993630573,0.121019108,0.98089172,0.229299363,0.955414013,0.343949045,0.923566879,0.452229299,0.872611465,0.554140127,0.796178344,0.636942675,0.713375796,0.713375796,0.605095541,0.770700637,0.248407643,0.025477707,0.248407643,0,0.159235669,0,0.197452229,0.01910828,0.299363057,0.01910828,0.25477707,-0.012738854,0.337579618,0.012738854,0.25477707,-0.044585987,0.203821656,-0.031847134,0.305732484,-0.025477707,0.082802548,-0.089171975,0.152866242,-0.101910828,0.222929936,-0.108280255,0.299363057,-0.101910828,0.375796178,-0.108280255,0.140127389,-0.146496815,0.222929936,-0.165605096,0.305732484,-0.152866242,0.299363057,0.477707006,0.477707006,0.547770701,0.388535032,0.496815287,0.350318471,0.50955414,0.407643312,0.535031847,0.560509554,0.503184713,0.598726115,0.522292994,0.541401274,0.541401274,0.477707006,0.503184713,0.649681529,0.49044586,0.477707006,0.503184713,0.439490446,0.464968153,0.369426752,0.47133758,0.388535032,0.49044586,0.522292994,0.464968153,0.585987261,0.477707006,0.566878981,0.496815287,0.477707006,0.47133758,0.414012739,0.012738854,0.375796178,0.222929936,0.407643312,0.343949045,0.477707006,0.369426752,0.560509554,0.01910828,0.585987261,0.222929936,0.554140127,0.343949045,0.343949045,0.305732484,0.617834395,0.312101911,0.47133758,0.286624204,0.72611465,0.031847134,0.72611465,0,0.630573248,0.01910828,0.675159236,0.025477707,0.777070064,0.01910828,0.719745223,-0.012738854,0.821656051,0,0.719745223,-0.044585987,0.668789809,-0.025477707,0.777070064,-0.031847134,0.592356688,-0.101910828,0.668789809,-0.101910828,0.74522293,-0.114649682,0.815286624,-0.108280255,0.885350318,-0.101910828,0.656050955,-0.152866242,0.74522293,-0.165605096,0.821656051,-0.152866242
0.519607843,0.81372549,0,0,0,0.107843137,0.019607843,0.225490196,0.039215686,0.343137255,0.078431373,0.450980392,0.12745098,0.558823529,0.205882353,0.647058824,0.284313725,0.725490196,0.392156863,0.794117647,1,-0.009803922,1,0.107843137,0.980392157,0.215686275,0.960784314,0.333333333,0.931372549,0.441176471,0.882352941,0.539215686,0.81372549,0.637254902,0.735294118,0.725490196,0.647058824,0.784313725,0.235294118,0.009803922,0.235294118,-0.009803922,0.147058824,-0.019607843,0.18627451,0,0.284313725,0.009803922,0.245098039,-0.019607843,0.333333333,0,0.245098039,-0.049019608,0.18627451,-0.039215686,0.294117647,-0.039215686,0.078431373,-0.117647059,0.147058824,-0.12745098,0.215686275,-0.12745098,0.294117647,-0.12745098,0.37254902,-0.12745098,0.137254902,-0.176470588,0.215686275,-0.18627451,0.303921569,-0.176470588,0.323529412,0.480392157,0.509803922,0.588235294,0.421568627,0.509803922,0.37254902,0.539215686,0.431372549,0.578431373,0.607843137,0.5,0.656862745,0.529411765,0.598039216,0.568627451,0.509803922,0.519607843,0.705882353,0.470588235,0.509803922,0.5,0.460784314,0.450980392,0.392156863,0.460784314,0.411764706,0.5,0.558823529,0.450980392,0.62745098,0.460784314,0.607843137,0.490196078,0.509803922,0.460784314,0.421568627,0.009803922,0.382352941,0.205882353,0.421568627,0.323529412,0.5,0.343137255,0.568627451,0.009803922,0.598039216,0.205882353,0.568627451,0.323529412,0.352941176,0.294117647,0.637254902,0.284313725,0.5,0.254901961,0.725490196,0.019607843,0.725490196,-0.009803922,0.637254902,0.009803922,0.676470588,0.019607843,0.774509804,0.009803922,0.725490196,-0.019607843,0.823529412,0,0.725490196,-0.049019608,0.676470588,-0.029411765,0.774509804,-0.029411765,0.607843137,-0.12745098,0.68627451,-0.117647059,0.764705882,-0.12745098,0.833333333,-0.117647059,0.901960784,-0.098039216,0.68627451,-0.166666667,0.764705882,-0.176470588,0.843137255,-0.156862745
0.494949495,0.797979798,0,0,-0.01010101,0.121212121,0,0.232323232,0.01010101,0.353535354,0.03030303,0.464646465,0.080808081,0.575757576,0.151515152,0.666666667,0.252525253,0.737373737,0.363636364,0.787878788,1,0.01010101,1,0.121212121,1,0.242424242,0.97979798,0.353535354,0.95959596,0.474747475,0.909090909,0.575757576,0.838383838,0.666666667,0.737373737,0.737373737,0.626262626,0.787878788,0.262626263,0.01010101,0.272727273,-0.02020202,0.171717172,-0.02020202,0.222222222,0,0.313131313,0,0.272727273,-0.03030303,0.363636364,-0.01010101,0.272727273,-0.060606061,0.222222222,-0.050505051,0.323232323,-0.050505051,0.111111111,-0.131313131,0.171717172,-0.141414141,0.242424242,-0.151515152,0.323232323,-0.141414141,0.393939394,-0.151515152,0.161616162,-0.191919192,0.242424242,-0.202020202,0.323232323,-0.191919192,0.303030303,0.464646465,0.484848485,0.545454545,0.393939394,0.464646465,0.353535354,0.505050505,0.404040404,0.535353535,0.575757576,0.474747475,0.626262626,0.505050505,0.555555556,0.535353535,0.484848485,0.474747475,0.676767677,0.474747475,0.484848485,0.464646465,0.434343434,0.393939394,0.363636364,0.424242424,0.393939394,0.464646465,0.535353535,0.393939394,0.606060606,0.424242424,0.575757576,0.464646465,0.484848485,0.404040404,0.414141414,0,0.373737374,0.181818182,0.414141414,0.292929293,0.494949495,0.323232323,0.555555556,-0.01010101,0.595959596,0.171717172,0.565656566,0.292929293,0.343434343,0.262626263,0.636363636,0.252525253,0.494949495,0.232323232,0.717171717,0.01010101,0.717171717,-0.02020202,0.626262626,-0.01010101,0.666666667,0,0.757575758,0,0.707070707,-0.03030303,0.808080808,-0.01010101,0.717171717,-0.060606061,0.656565657,-0.050505051,0.767676768,-0.04040404,0.606060606,-0.161616162,0.676767677,-0.151515152,0.757575758,-0.151515152,0.818181818,-0.131313131,0.878787879,-0.121212121,0.676767677,-0.191919192,0.757575758,-0.202020202,0.828282828,-0.181818182
0.526315789,0.8,0,0,0.010526316,0.115789474,0.021052632,0.231578947,0.042105263,0.347368421,0.073684211,0.452631579,0.126315789,0.557894737,0.2,0.642105263,0.284210526,0.715789474,0.4,0.778947368,1,0,1,0.105263158,0.989473684,0.221052632,0.968421053,0.326315789,0.936842105,0.442105263,0.894736842,0.536842105,0.831578947,0.631578947,0.747368421,0.715789474,0.652631579,0.768421053,0.284210526,0.021052632,0.284210526,0,0.189473684,0,0.231578947,0.010526316,0.336842105,0.021052632,0.294736842,-0.010526316,0.389473684,0.010526316,0.284210526,-0.042105263,0.231578947,-0.031578947,0.347368421,-0.031578947,0.094736842,-0.105263158,0.168421053,-0.126315789,0.242105263,-0.136842105,0.315789474,-0.126315789,0.4,-0.136842105,0.157894737,-0.168421053,0.231578947,-0.189473684,0.326315789,-0.178947368,0.357894737,0.494736842,0.515789474,0.578947368,0.442105263,0.505263158,0.4,0.536842105,0.452631579,0.568421053,0.610526316,0.505263158,0.652631579,0.536842105,0.589473684,0.568421053,0.515789474,0.505263158,0.694736842,0.505263158,0.526315789,0.494736842,0.473684211,0.431578947,0.410526316,0.463157895,0.442105263,0.494736842,0.568421053,0.431578947,0.631578947,0.463157895,0.610526316,0.494736842,0.526315789,0.442105263,0.442105263,0.021052632,0.410526316,0.2,0.452631579,0.315789474,0.526315789,0.326315789,0.589473684,0.021052632,0.631578947,0.2,0.589473684,0.315789474,0.378947368,0.284210526,0.663157895,0.284210526,0.526315789,0.221052632,0.736842105,0.021052632,0.736842105,-0.010526316,0.642105263,0,0.684210526,0.010526316,0.789473684,0.010526316,0.736842105,-0.021052632,0.831578947,0,0.736842105,-0.052631579,0.684210526,-0.031578947,0.789473684,-0.042105263,0.621052632,-0.136842105,0.694736842,-0.136842105,0.778947368,-0.136842105,0.852631579,-0.126315789,0.915789474,-0.105263158,0.694736842,-0.189473684,0.778947368,-0.189473684,0.863157895,-0.168421053
0.52,0.78,0,0,0.01,0.11,0.02,0.22,0.04,0.33,0.07,0.44,0.12,0.54,0.2,0.63,0.29,0.71,0.39,0.76,1,0,0.99,0.11,0.98,0.22,0.96,0.33,0.93,0.44,0.88,0.53,0.82,0.62,0.74,0.7,0.64,0.76,0.27,0.03,0.27,0.01,0.17,-0.01,0.22,0.02,0.32,0.03,0.28,0,0.37,0.03,0.28,-0.02,0.22,-0.02,0.33,-0.01,0.11,-0.14,0.19,-0.13,0.27,-0.11,0.34,-0.08,0.43,-0.07,0.19,-0.18,0.28,-0.17,0.36,-0.13,0.32,0.47,0.52,0.56,0.42,0.49,0.38,0.52,0.44,0.55,0.61,0.49,0.65,0.52,0.59,0.55,0.52,0.5,0.7,0.47,0.52,0.49,0.47,0.44,0.4,0.46,0.42,0.48,0.56,0.44,0.63,0.46,0.61,0.48,0.52,0.45,0.44,0.03,0.4,0.2,0.43,0.32,0.51,0.34,0.6,0.03,0.63,0.21,0.59,0.32,0.36,0.29,0.67,0.29,0.51,0.24,0.74,0.05,0.73,0.02,0.63,0.04,0.68,0.04,0.79,0.03,0.72,0.01,0.84,0.01,0.73,-0.02,0.67,0,0.79,-0.02,0.58,-0.07,0.67,-0.08,0.75,-0.1,0.84,-0.11,0.92,-0.11,0.66,-0.13,0.74,-0.16,0.84,-0.16
0.494949495,0.808080808,0,0,0,0.121212121,0.01010101,0.232323232,0.03030303,0.343434343,0.060606061,0.454545455,0.111111111,0.555555556,0.181818182,0.646464646,0.262626263,0.727272727,0.363636364,0.787878788,1,0.01010101,1,0.121212121,0.98989899,0.242424242,0.96969697,0.353535354,0.929292929,0.464646465,0.878787879,0.565656566,0.808080808,0.646464646,0.727272727,0.727272727,0.626262626,0.787878788,0.242424242,0.04040404,0.242424242,0.01010101,0.141414141,0.01010101,0.191919192,0.03030303,0.303030303,0.03030303,0.252525253,0,0.343434343,0.02020202,0.252525253,-0.03030303,0.191919192,-0.02020202,0.303030303,-0.01010101,0.04040404,-0.070707071,0.121212121,-0.080808081,0.191919192,-0.080808081,0.282828283,-0.070707071,0.363636364,-0.070707071,0.111111111,-0.121212121,0.191919192,-0.131313131,0.282828283,-0.121212121,0.303030303,0.484848485,0.484848485,0.575757576,0.393939394,0.505050505,0.353535354,0.525252525,0.414141414,0.565656566,0.575757576,0.505050505,0.626262626,0.525252525,0.565656566,0.565656566,0.484848485,0.515151515,0.676767677,0.484848485,0.484848485,0.494949495,0.444444444,0.444444444,0.373737374,0.464646465,0.404040404,0.484848485,0.535353535,0.444444444,0.606060606,0.464646465,0.575757576,0.484848485,0.484848485,0.454545455,0.414141414,0.03030303,0.373737374,0.222222222,0.404040404,0.333333333,0.484848485,0.363636364,0.555555556,0.03030303,0.595959596,0.222222222,0.555555556,0.333333333,0.343434343,0.303030303,0.626262626,0.303030303,0.484848485,0.272727273,0.717171717,0.04040404,0.717171717,0.01010101,0.616161616,0.02020202,0.666666667,0.03030303,0.767676768,0.02020202,0.707070707,0,0.818181818,0,0.717171717,-0.04040404,0.666666667,-0.02020202,0.767676768,-0.03030303,0.616161616,-0.080808081,0.686868687,-0.080808081,0.767676768,-0.090909091,0.838383838,-0.090909091,0.898989899,-0.090909091,0.686868687,-0.121212121,0.767676768,-0.141414141,0.838383838,-0.141414141
0.534883721,0.790697674,0,0,0,0.11627907,0.011627907,0.23255814,0.023255814,0.348837209,0.058139535,0.465116279,0.11627907,0.569767442,0.197674419,0.651162791,0.290697674,0.720930233,0.406976744,0.779069767,1,-0.011627907,1,0.104651163,0.988372093,0.209302326,0.976744186,0.325581395,0.953488372,0.441860465,0.906976744,0.534883721,0.837209302,0.627906977,0.755813953,0.709302326,0.651162791,0.76744186,0.302325581,0,0.302325581,-0.011627907,0.209302326,-0.011627907,0.255813953,0,0.348837209,0,0.313953488,-0.023255814,0.395348837,-0.011627907,0.302325581,-0.046511628,0.255813953,-0.034883721,0.360465116,-0.034883721,0.139534884,-0.139534884,0.209302326,-0.139534884,0.279069767,-0.151162791,0.348837209,-0.151162791,0.418604651,-0.151162791,0.197674419,-0.186046512,0.279069767,-0.209302326,0.360465116,-0.197674419,0.325581395,0.453488372,0.534883721,0.534883721,0.430232558,0.465116279,0.38372093,0.5,0.453488372,0.523255814,0.61627907,0.465116279,0.662790698,0.488372093,0.604651163,0.523255814,0.534883721,0.476744186,0.709302326,0.453488372,0.523255814,0.465116279,0.476744186,0.418604651,0.406976744,0.430232558,0.430232558,0.465116279,0.569767442,0.418604651,0.651162791,0.430232558,0.61627907,0.465116279,0.523255814,0.430232558,0.441860465,0,0.406976744,0.186046512,0.453488372,0.302325581,0.534883721,0.325581395,0.604651163,0,0.639534884,0.174418605,0.61627907,0.302325581,0.372093023,0.26744186,0.674418605,0.255813953,0.534883721,0.244186047,0.73255814,0,0.73255814,-0.023255814,0.639534884,-0.011627907,0.686046512,0,0.779069767,0,0.73255814,-0.023255814,0.825581395,-0.011627907,0.73255814,-0.058139535,0.686046512,-0.046511628,0.779069767,-0.046511628,0.604651163,-0.139534884,0.686046512,-0.139534884,0.755813953,-0.139534884,0.825581395,-0.139534884,0.895348837,-0.127906977,0.674418605,-0.186046512,0.755813953,-0.197674419,0.837209302,-0.186046512
