contour_chin.x,contour_chin.y,contour_left1.x,contour_left1.y,contour_left2.x,contour_left2.y,contour_left3.x,contour_left3.y,contour_left4.x,contour_left4.y,contour_left5.x,contour_left5.y,contour_left6.x,contour_left6.y,contour_left7.x,contour_left7.y,contour_left8.x,contour_left8.y,contour_left9.x,contour_left9.y,contour_right1.x,contour_right1.y,contour_right2.x,contour_right2.y,contour_right3.x,contour_right3.y,contour_right4.x,contour_right4.y,contour_right5.x,contour_right5.y,contour_right6.x,contour_right6.y,contour_right7.x,contour_right7.y,contour_right8.x,contour_right8.y,contour_right9.x,contour_right9.y,left_eye_bottom.x,left_eye_bottom.y,left_eye_center.x,left_eye_center.y,left_eye_left_corner.x,left_eye_left_corner.y,left_eye_lower_left_quarter.x,left_eye_lower_left_quarter.y,left_eye_lower_right_quarter.x,left_eye_lower_right_quarter.y,left_eye_pupil.x,left_eye_pupil.y,left_eye_right_corner.x,left_eye_right_corner.y,left_eye_top.x,left_eye_top.y,left_eye_upper_left_quarter.x,left_eye_upper_left_quarter.y,left_eye_upper_right_quarter.x,left_eye_upper_right_quarter.y,left_eyebrow_left_corner.x,left_eyebrow_left_corner.y,left_eyebrow_lower_left_quarter.x,left_eyebrow_lower_left_quarter.y,left_eyebrow_lower_middle.x,left_eyebrow_lower_middle.y,left_eyebrow_lower_right_quarter.x,left_eyebrow_lower_right_quarter.y,left_eyebrow_right_corner.x,left_eyebrow_right_corner.y,left_eyebrow_upper_left_quarter.x,left_eyebrow_upper_left_quarter.y,left_eyebrow_upper_middle.x,left_eyebrow_upper_middle.y,left_eyebrow_upper_right_quarter.x,left_eyebrow_upper_right_quarter.y,mouth_left_corner.x,mouth_left_corner.y,mouth_lower_lip_bottom.x,mouth_lower_lip_bottom.y,mouth_lower_lip_left_contour1.x,mouth_lower_lip_left_contour1.y,mouth_lower_lip_left_contour2.x,mouth_lower_lip_left_contour2.y,mouth_lower_lip_left_contour3.x,mouth_lower_lip_left_contour3.y,mouth_lower_lip_right_contour1.x,mouth_lower_lip_right_contour1.y,mouth_lower_lip_right_contour2.x,mouth_lower_lip_right_contour2.y,mouth_lower_lip_right_contour3.x,mouth_lower_lip_right_contour3.y,mouth_lower_lip_top.x,mouth_lower_lip_top.y,mouth_right_corner.x,mouth_right_corner.y,mouth_upper_lip_bottom.x,mouth_upper_lip_bottom.y,mouth_upper_lip_left_contour1.x,mouth_upper_lip_left_contour1.y,mouth_upper_lip_left_contour2.x,mouth_upper_lip_left_contour2.y,mouth_upper_lip_left_contour3.x,mouth_upper_lip_left_contour3.y,mouth_upper_lip_right_contour1.x,mouth_upper_lip_right_contour1.y,mouth_upper_lip_right_contour2.x,mouth_upper_lip_right_contour2.y,mouth_upper_lip_right_contour3.x,mouth_upper_lip_right_contour3.y,mouth_upper_lip_top.x,mouth_upper_lip_top.y,nose_contour_left1.x,nose_contour_left1.y,nose_contour_left2.x,nose_contour_left2.y,nose_contour_left3.x,nose_contour_left3.y,nose_contour_lower_middle.x,nose_contour_lower_middle.y,nose_contour_right1.x,nose_contour_right1.y,nose_contour_right2.x,nose_contour_right2.y,nose_contour_right3.x,nose_contour_right3.y,nose_left.x,nose_left.y,nose_right.x,nose_right.y,nose_tip.x,nose_tip.y,right_eye_bottom.x,right_eye_bottom.y,right_eye_center.x,right_eye_center.y,right_eye_left_corner.x,right_eye_left_corner.y,right_eye_lower_left_quarter.x,right_eye_lower_left_quarter.y,right_eye_lower_right_quarter.x,right_eye_lower_right_quarter.y,right_eye_pupil.x,right_eye_pupil.y,right_eye_right_corner.x,right_eye_right_corner.y,right_eye_top.x,right_eye_top.y,right_eye_upper_left_quarter.x,right_eye_upper_left_quarter.y,right_eye_upper_right_quarter.x,right_eye_upper_right_quarter.y,right_eyebrow_left_corner.x,right_eyebrow_left_corner.y,right_eyebrow_lower_left_quarter.x,right_eyebrow_lower_left_quarter.y,right_eyebrow_lower_middle.x,right_eyebrow_lower_middle.y,right_eyebrow_lower_right_quarter.x,right_eyebrow_lower_right_quarter.y,right_eyebrow_right_corner.x,right_eyebrow_right_corner.y,right_eyebrow_upper_left_quarter.x,right_eyebrow_upper_left_quarter.y,right_eyebrow_upper_middle.x,right_eyebrow_upper_middle.y,right_eyebrow_upper_right_quarter.x,right_eyebrow_upper_right_quarter.y
0.504504505,0.756756757,0,0,0,0.117117117,0.027027027,0.225225225,0.054054054,0.324324324,0.072072072,0.432432432,0.126126126,0.531531532,0.198198198,0.612612613,0.279279279,0.693693694,0.378378378,0.738738739,1,-0.018018018,1,0.099099099,0.981981982,0.207207207,0.963963964,0.315315315,0.936936937,0.423423423,0.891891892,0.522522523,0.81981982,0.612612613,0.738738739,0.684684685,0.63963964,0.738738739,0.27027027,0.009009009,0.27027027,-0.027027027,0.18018018,-0.027027027,0.225225225,-0.009009009,0.315315315,0,0.27027027,-0.027027027,0.36036036,0,0.279279279,-0.054054054,0.225225225,-0.054054054,0.324324324,-0.036036036,0.081081081,-0.108108108,0.144144144,-0.117117117,0.207207207,-0.117117117,0.279279279,-0.108108108,0.369369369,-0.099099099,0.135135135,-0.171171171,0.207207207,-0.171171171,0.288288288,-0.153153153,0.315315315,0.45045045,0.495495495,0.495495495,0.414414414,0.45045045,0.369369369,0.486486486,0.432432432,0.504504505,0.567567568,0.45045045,0.612612613,0.486486486,0.54954955,0.495495495,0.495495495,0.441441441,0.657657658,0.45045045,0.495495495,0.432432432,0.441441441,0.396396396,0.387387387,0.414414414,0.414414414,0.441441441,0.540540541,0.396396396,0.603603604,0.414414414,0.567567568,0.441441441,0.486486486,0.405405405,0.423423423,0,0.387387387,0.171171171,0.414414414,0.279279279,0.495495495,0.297297297,0.558558559,0,0.594594595,0.171171171,0.567567568,0.279279279,0.351351351,0.252252252,0.63963964,0.252252252,0.486486486,0.207207207,0.711711712,0.018018018,0.702702703,-0.018018018,0.621621622,-0.009009009,0.657657658,0.009009009,0.747747748,0,0.702702703,-0.027027027,0.792792793,-0.018018018,0.702702703,-0.054054054,0.657657658,-0.045045045,0.738738739,-0.045045045,0.612612613,-0.099099099,0.693693694,-0.108108108,0.765765766,-0.117117117,0.828828829,-0.117117117,0.882882883,-0.108108108,0.684684685,-0.153153153,0.765765766,-0.171171171,0.837837838,-0.162162162
0.504761905,0.780952381,0,0,0.00952381,0.114285714,0.028571429,0.228571429,0.057142857,0.333333333,0.085714286,0.438095238,0.142857143,0.533333333,0.20952381,0.619047619,0.285714286,0.695238095,0.380952381,0.761904762,1,-0.00952381,1,0.104761905,0.980952381,0.219047619,0.952380952,0.323809524,0.923809524,0.438095238,0.876190476,0.533333333,0.80952381,0.60952381,0.723809524,0.695238095,0.628571429,0.761904762,0.247619048,0.028571429,0.247619048,-0.00952381,0.161904762,0,0.2,0.019047619,0.304761905,0.019047619,0.257142857,-0.019047619,0.352380952,0.00952381,0.257142857,-0.047619048,0.2,-0.028571429,0.304761905,-0.028571429,0.085714286,-0.114285714,0.152380952,-0.114285714,0.228571429,-0.114285714,0.304761905,-0.095238095,0.39047619,-0.085714286,0.152380952,-0.171428571,0.238095238,-0.171428571,0.314285714,-0.142857143,0.323809524,0.504761905,0.485714286,0.59047619,0.40952381,0.523809524,0.361904762,0.552380952,0.419047619,0.59047619,0.552380952,0.514285714,0.6,0.542857143,0.552380952,0.580952381,0.485714286,0.523809524,0.628571429,0.485714286,0.485714286,0.495238095,0.438095238,0.466666667,0.380952381,0.476190476,0.40952381,0.495238095,0.523809524,0.466666667,0.571428571,0.466666667,0.542857143,0.485714286,0.476190476,0.476190476,0.40952381,0.00952381,0.380952381,0.238095238,0.40952381,0.352380952,0.476190476,0.371428571,0.523809524,0.00952381,0.571428571,0.238095238,0.542857143,0.352380952,0.352380952,0.323809524,0.6,0.314285714,0.466666667,0.295238095,0.685714286,0.028571429,0.676190476,0,0.580952381,0.019047619,0.628571429,0.028571429,0.733333333,0.019047619,0.685714286,-0.00952381,0.780952381,0,0.676190476,-0.038095238,0.628571429,-0.019047619,0.733333333,-0.028571429,0.561904762,-0.085714286,0.638095238,-0.095238095,0.714285714,-0.104761905,0.780952381,-0.104761905,0.847619048,-0.104761905,0.638095238,-0.142857143,0.714285714,-0.161904762,0.79047619,-0.161904762
0.51,0.8,0,0,0,0.12,0.02,0.23,0.05,0.34,0.08,0.45,0.13,0.55,0.2,0.63,0.28,0.72,0.38,0.78,1,0.01,0.99,0.12,0.97,0.23,0.94,0.34,0.91,0.45,0.86,0.55,0.8,0.63,0.72,0.72,0.64,0.78,0.24,0.04,0.25,0,0.17,0.01,0.2,0.02,0.3,0.03,0.25,0,0.34,0.02,0.25,-0.03,0.2,-0.02,0.3,-0.02,0.09,-0.1,0.15,-0.11,0.22,-0.12,0.29,-0.12,0.36,-0.12,0.14,-0.16,0.21,-0.18,0.29,-0.17,0.34,0.49,0.51,0.57,0.43,0.5,0.38,0.54,0.44,0.57,0.58,0.49,0.63,0.53,0.57,0.57,0.5,0.5,0.67,0.49,0.5,0.48,0.46,0.43,0.39,0.46,0.43,0.48,0.54,0.43,0.61,0.45,0.58,0.48,0.5,0.44,0.41,0.04,0.4,0.2,0.44,0.32,0.51,0.34,0.56,0.03,0.61,0.2,0.58,0.32,0.36,0.29,0.65,0.29,0.52,0.25,0.72,0.04,0.71,0.01,0.63,0.03,0.67,0.04,0.77,0.03,0.71,0,0.8,0.01,0.72,-0.02,0.67,-0.01,0.76,-0.02,0.61,-0.1,0.69,-0.1,0.76,-0.11,0.83,-0.1,0.89,-0.09,0.68,-0.16,0.76,-0.17,0.84,-0.16
0.5,0.765822785,0,0,0,0.113924051,0.018987342,0.221518987,0.037974684,0.329113924,0.069620253,0.436708861,0.120253165,0.53164557,0.196202532,0.613924051,0.278481013,0.683544304,0.379746835,0.740506329,1,0,0.993670886,0.113924051,0.981012658,0.221518987,0.955696203,0.329113924,0.930379747,0.436708861,0.873417722,0.53164557,0.810126582,0.613924051,0.721518987,0.683544304,0.626582278,0.740506329,0.234177215,0.025316456,0.234177215,-0.018987342,0.139240506,-0.006329114,0.183544304,0.012658228,0.297468354,0.012658228,0.246835443,-0.025316456,0.341772152,0.006329114,0.240506329,-0.069620253,0.17721519,-0.050632911,0.297468354,-0.050632911,0.069620253,-0.094936709,0.139240506,-0.107594937,0.215189873,-0.113924051,0.291139241,-0.107594937,0.373417722,-0.113924051,0.132911392,-0.151898734,0.215189873,-0.164556962,0.297468354,-0.158227848,0.303797468,0.462025316,0.46835443,0.537974684,0.386075949,0.487341772,0.35443038,0.5,0.398734177,0.525316456,0.550632911,0.493670886,0.588607595,0.512658228,0.53164557,0.537974684,0.46835443,0.493670886,0.639240506,0.481012658,0.46835443,0.487341772,0.430379747,0.455696203,0.367088608,0.462025316,0.386075949,0.474683544,0.512658228,0.462025316,0.575949367,0.46835443,0.550632911,0.487341772,0.46835443,0.46835443,0.417721519,0,0.379746835,0.215189873,0.405063291,0.335443038,0.474683544,0.360759494,0.537974684,-0.012658228,0.582278481,0.215189873,0.550632911,0.335443038,0.341772152,0.297468354,0.620253165,0.297468354,0.46835443,0.284810127,0.715189873,0.018987342,0.708860759,-0.018987342,0.607594937,0.012658228,0.658227848,0.018987342,0.778481013,0.012658228,0.708860759,-0.025316456,0.816455696,-0.006329114,0.708860759,-0.069620253,0.64556962,-0.044303797,0.778481013,-0.050632911,0.582278481,-0.113924051,0.664556962,-0.113924051,0.746835443,-0.120253165,0.82278481,-0.113924051,0.892405063,-0.101265823,0.658227848,-0.164556962,0.746835443,-0.17721519,0.829113924,-0.164556962
0.51,0.83,0,0,0.01,0.12,0.03,0.24,0.05,0.35,0.07,0.46,0.12,0.57,0.19,0.66,0.27,0.75,0.38,0.81,1,0,1,0.12,0.98,0.24,0.96,0.35,0.94,0.46,0.89,0.57,0.83,0.66,0.74,0.74,0.64,0.81,0.23,0.01,0.23,-0.03,0.14,-0.02,0.18,0,0.29,0,0.24,-0.03,0.33,0,0.23,-0.06,0.18,-0.05,0.29,-0.05,0.06,-0.12,0.13,-0.13,0.2,-0.13,0.29,-0.12,0.37,-0.12,0.12,-0.19,0.2,-0.2,0.29,-0.18,0.31,0.49,0.51,0.6,0.41,0.51,0.36,0.55,0.43,0.59,0.59,0.51,0.64,0.54,0.58,0.59,0.5,0.52,0.68,0.48,0.5,0.5,0.45,0.45,0.38,0.46,0.41,0.5,0.55,0.45,0.62,0.46,0.59,0.5,0.5,0.46,0.41,0,0.39,0.21,0.42,0.34,0.5,0.35,0.55,0,0.6,0.21,0.58,0.33,0.35,0.3,0.64,0.29,0.5,0.26,0.74,0.02,0.73,-0.01,0.63,0.01,0.68,0.02,0.79,0.02,0.73,-0.02,0.83,0,0.73,-0.05,0.68,-0.03,0.79,-0.04,0.6,-0.13,0.69,-0.12,0.78,-0.12,0.85,-0.1,0.92,-0.08,0.69,-0.18,0.78,-0.18,0.87,-0.16
0.519607843,0.794117647,0,0,0,0.12745098,0.019607843,0.235294118,0.039215686,0.352941176,0.058823529,0.470588235,0.107843137,0.568627451,0.176470588,0.656862745,0.274509804,0.735294118,0.382352941,0.774509804,1,-0.019607843,1,0.098039216,0.980392157,0.215686275,0.970588235,0.333333333,0.950980392,0.450980392,0.911764706,0.558823529,0.852941176,0.647058824,0.754901961,0.715686275,0.656862745,0.774509804,0.264705882,0.019607843,0.264705882,-0.019607843,0.166666667,-0.009803922,0.215686275,0.009803922,0.31372549,0.009803922,0.264705882,-0.019607843,0.362745098,0.009803922,0.264705882,-0.049019608,0.215686275,-0.039215686,0.323529412,-0.039215686,0.107843137,-0.107843137,0.166666667,-0.117647059,0.235294118,-0.12745098,0.31372549,-0.12745098,0.392156863,-0.12745098,0.156862745,-0.166666667,0.235294118,-0.18627451,0.323529412,-0.176470588,0.303921569,0.460784314,0.480392157,0.539215686,0.392156863,0.460784314,0.352941176,0.5,0.411764706,0.529411765,0.568627451,0.470588235,0.617647059,0.5,0.549019608,0.539215686,0.480392157,0.470588235,0.666666667,0.460784314,0.480392157,0.450980392,0.431372549,0.382352941,0.352941176,0.411764706,0.392156863,0.450980392,0.539215686,0.382352941,0.607843137,0.411764706,0.568627451,0.450980392,0.480392157,0.392156863,0.421568627,0.009803922,0.382352941,0.176470588,0.421568627,0.303921569,0.5,0.323529412,0.539215686,0,0.598039216,0.176470588,0.568627451,0.303921569,0.352941176,0.274509804,0.637254902,0.264705882,0.490196078,0.235294118,0.696078431,0.009803922,0.696078431,-0.019607843,0.598039216,0,0.647058824,0.009803922,0.745098039,0,0.696078431,-0.029411765,0.803921569,-0.009803922,0.696078431,-0.058823529,0.637254902,-0.039215686,0.745098039,-0.049019608,0.578431373,-0.137254902,0.656862745,-0.137254902,0.735294118,-0.137254902,0.803921569,-0.12745098,0.862745098,-0.098039216,0.656862745,-0.18627451,0.735294118,-0.18627451,0.81372549,-0.156862745
0.515463918,0.835051546,0,0,0,0.12371134,0.030927835,0.237113402,0.051546392,0.350515464,0.072164948,0.463917526,0.12371134,0.567010309,0.195876289,0.659793814,0.278350515,0.75257732,0.381443299,0.804123711,1,0,0.989690722,0.12371134,0.969072165,0.237113402,0.93814433,0.360824742,0.907216495,0.463917526,0.865979381,0.567010309,0.804123711,0.659793814,0.731958763,0.742268041,0.639175258,0.81443299,0.24742268,0.051546392,0.24742268,0.010309278,0.154639175,0.020618557,0.206185567,0.041237113,0.309278351,0.041237113,0.257731959,0.010309278,0.340206186,0.030927835,0.24742268,-0.020618557,0.206185567,-0.010309278,0.309278351,-0.010309278,0.06185567,-0.082474227,0.134020619,-0.092783505,0.206185567,-0.092783505,0.288659794,-0.092783505,0.381443299,-0.103092784,0.12371134,-0.144329897,0.206185567,-0.154639175,0.298969072,-0.144329897,0.329896907,0.505154639,0.484536082,0.608247423,0.412371134,0.515463918,0.371134021,0.556701031,0.422680412,0.587628866,0.546391753,0.525773196,0.597938144,0.567010309,0.536082474,0.587628866,0.494845361,0.536082474,0.639175258,0.515463918,0.494845361,0.515463918,0.443298969,0.443298969,0.371134021,0.463917526,0.412371134,0.505154639,0.536082474,0.443298969,0.587628866,0.474226804,0.546391753,0.505154639,0.484536082,0.453608247,0.432989691,0.030927835,0.391752577,0.206185567,0.412371134,0.340206186,0.484536082,0.350515464,0.536082474,0.030927835,0.587628866,0.206185567,0.556701031,0.340206186,0.350515464,0.309278351,0.618556701,0.309278351,0.484536082,0.257731959,0.711340206,0.06185567,0.701030928,0.020618557,0.618556701,0.030927835,0.659793814,0.051546392,0.75257732,0.041237113,0.701030928,0.010309278,0.793814433,0.020618557,0.711340206,-0.020618557,0.649484536,0,0.75257732,-0.010309278,0.567010309,-0.113402062,0.649484536,-0.103092784,0.742268041,-0.092783505,0.81443299,-0.082474227,0.886597938,-0.06185567,0.659793814,-0.154639175,0.75257732,-0.154639175,0.824742268,-0.12371134
0.504854369,0.776699029,0,0,0,0.116504854,0.009708738,0.223300971,0.029126214,0.330097087,0.058252427,0.446601942,0.116504854,0.54368932,0.184466019,0.621359223,0.27184466,0.699029126,0.378640777,0.747572816,1,0.009708738,1,0.116504854,0.980582524,0.233009709,0.961165049,0.339805825,0.932038835,0.446601942,0.873786408,0.54368932,0.805825243,0.621359223,0.72815534,0.699029126,0.631067961,0.757281553,0.252427184,0.038834951,0.252427184,0,0.165048544,-0.009708738,0.203883495,0.019417476,0.310679612,0.029126214,0.27184466,-0.009708738,0.349514563,0.019417476,0.262135922,-0.029126214,0.213592233,-0.029126214,0.32038835,-0.009708738,0.097087379,-0.13592233,0.174757282,-0.126213592,0.252427184,-0.106796117,0.330097087,-0.077669903,0.40776699,-0.058252427,0.184466019,-0.165048544,0.262135922,-0.155339806,0.339805825,-0.116504854,0.310679612,0.466019417,0.485436893,0.553398058,0.40776699,0.485436893,0.359223301,0.504854369,0.417475728,0.54368932,0.582524272,0.475728155,0.631067961,0.504854369,0.572815534,0.54368932,0.495145631,0.485436893,0.67961165,0.466019417,0.495145631,0.475728155,0.45631068,0.427184466,0.388349515,0.446601942,0.40776699,0.466019417,0.54368932,0.427184466,0.611650485,0.436893204,0.582524272,0.466019417,0.495145631,0.436893204,0.436893204,0.038834951,0.398058252,0.194174757,0.417475728,0.310679612,0.495145631,0.330097087,0.553398058,0.029126214,0.601941748,0.203883495,0.572815534,0.32038835,0.349514563,0.281553398,0.640776699,0.281553398,0.495145631,0.242718447,0.708737864,0.038834951,0.708737864,0.009708738,0.621359223,0.038834951,0.660194175,0.038834951,0.766990291,0.038834951,0.699029126,0,0.805825243,0.009708738,0.699029126,-0.019417476,0.650485437,0,0.757281553,-0.009708738,0.563106796,-0.058252427,0.650485437,-0.067961165,0.72815534,-0.087378641,0.805825243,-0.097087379,0.873786408,-0.087378641,0.640776699,-0.116504854,0.718446602,-0.145631068,0.805825243,-0.145631068
0.490196078,0.784313725,0,0,0,0.117647059,0.019607843,0.225490196,0.039215686,0.333333333,0.068627451,0.441176471,0.117647059,0.539215686,0.18627451,0.62745098,0.264705882,0.705882353,0.362745098,0.764705882,1,0,0.990196078,0.117647059,0.980392157,0.225490196,0.960784314,0.343137255,0.931372549,0.450980392,0.882352941,0.549019608,0.81372549,0.637254902,0.725490196,0.705882353,0.62745098,0.764705882,0.235294118,0.019607843,0.235294118,-0.009803922,0.147058824,-0.009803922,0.18627451,0.009803922,0.284313725,0.019607843,0.245098039,-0.019607843,0.333333333,0,0.235294118,-0.039215686,0.18627451,-0.029411765,0.294117647,-0.029411765,0.068627451,-0.098039216,0.12745098,-0.107843137,0.205882353,-0.098039216,0.284313725,-0.088235294,0.37254902,-0.078431373,0.12745098,-0.156862745,0.215686275,-0.156862745,0.294117647,-0.12745098,0.303921569,0.450980392,0.490196078,0.549019608,0.401960784,0.470588235,0.352941176,0.5,0.421568627,0.539215686,0.558823529,0.480392157,0.598039216,0.509803922,0.539215686,0.539215686,0.490196078,0.480392157,0.647058824,0.460784314,0.490196078,0.460784314,0.441176471,0.411764706,0.382352941,0.431372549,0.401960784,0.460784314,0.529411765,0.411764706,0.588235294,0.441176471,0.558823529,0.460784314,0.490196078,0.421568627,0.411764706,0.009803922,0.382352941,0.196078431,0.411764706,0.303921569,0.490196078,0.323529412,0.549019608,0.009803922,0.588235294,0.196078431,0.558823529,0.303921569,0.343137255,0.274509804,0.617647059,0.284313725,0.490196078,0.245098039,0.715686275,0.029411765,0.705882353,-0.009803922,0.617647059,0.009803922,0.666666667,0.019607843,0.764705882,0.019607843,0.705882353,-0.009803922,0.803921569,0,0.715686275,-0.049019608,0.666666667,-0.029411765,0.764705882,-0.039215686,0.588235294,-0.078431373,0.676470588,-0.088235294,0.754901961,-0.098039216,0.833333333,-0.098039216,0.892156863,-0.078431373,0.666666667,-0.12745098,0.754901961,-0.147058824,0.833333333,-0.137254902
0.494252874,0.804597701,0,0,0,0.126436782,0,0.24137931,0.022988506,0.356321839,0.045977011,0.471264368,0.091954023,0.574712644,0.16091954,0.666666667,0.252873563,0.735632184,0.367816092,0.793103448,1,0,1,0.126436782,0.988505747,0.24137931,0.965517241,0.356321839,0.942528736,0.471264368,0.885057471,0.574712644,0.827586207,0.655172414,0.735632184,0.735632184,0.632183908,0.793103448,0.275862069,0.011494253,0.275862069,-0.011494253,0.183908046,-0.011494253,0.229885057,0,0.32183908,0.011494253,0.275862069,-0.011494253,0.379310345,0,0.275862069,-0.034482759,0.229885057,-0.034482759,0.333333333,-0.022988506,0.114942529,-0.114942529,0.183908046,-0.126436782,0.252873563,-0.126436782,0.333333333,-0.126436782,0.413793103,-0.137931034,0.172413793,-0.172413793,0.252873563,-0.195402299,0.333333333,-0.183908046,0.310344828,0.459770115,0.505747126,0.540229885,0.413793103,0.471264368,0.367816092,0.494252874,0.436781609,0.528735632,0.586206897,0.471264368,0.632183908,0.494252874,0.563218391,0.517241379,0.505747126,0.471264368,0.689655172,0.448275862,0.505747126,0.459770115,0.471264368,0.413793103,0.379310345,0.436781609,0.413793103,0.459770115,0.551724138,0.413793103,0.609195402,0.436781609,0.586206897,0.459770115,0.505747126,0.425287356,0.448275862,0.011494253,0.402298851,0.183908046,0.436781609,0.310344828,0.517241379,0.32183908,0.551724138,0.011494253,0.620689655,0.183908046,0.597701149,0.310344828,0.356321839,0.264367816,0.655172414,0.264367816,0.528735632,0.24137931,0.712643678,0.022988506,0.701149425,-0.011494253,0.620689655,0,0.666666667,0.011494253,0.75862069,0.011494253,0.701149425,-0.011494253,0.804597701,0,0.712643678,-0.045977011,0.655172414,-0.022988506,0.75862069,-0.034482759,0.597701149,-0.126436782,0.666666667,-0.126436782,0.747126437,-0.126436782,0.816091954,-0.114942529,0.885057471,-0.103448276,0.666666667,-0.172413793,0.747126437,-0.183908046,0.827586207,-0.16091954
